"Account 900001001 Positions, as of 07/01/26 at 07:49 PM EST"
Position,Qty,Date Acquired,Term,Cost Basis,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
    10  06/02/2026,10,06/02/2026,Short term,8.289,--,--,7.552,-0.156,8.289,-1.56,-7.37,75.52,7.522,7.576,--
    25  06/02/2026,25,06/02/2026,Short term,8.1825,--,--,7.552,-0.156,8.1825,-3.9,-15.7625,188.8,7.522,7.576,--
    25  06/03/2026,25,06/03/2026,Short term,8.325,--,--,7.552,-0.156,8.325,-3.9,-19.325,188.8,7.522,7.576,--
    40  06/05/2026,40,06/05/2026,Short term,8.256,--,--,7.552,-0.156,8.256,-6.24,-28.16,302.08,7.522,7.576,--
    50  06/09/2026,50,06/09/2026,Short term,8.1805,--,--,7.552,-0.156,8.1805,-7.8,-31.425,377.6,7.522,7.576,--
    50  06/10/2026,50,06/10/2026,Short term,8.01338,--,--,7.552,-0.156,8.01338,-7.8,-23.069,377.6,7.522,7.576,--
    25  06/16/2026,25,06/16/2026,Short term,8.251,--,--,7.552,-0.156,8.251,-3.9,-17.475,188.8,7.522,7.576,--
    50  06/29/2026,50,06/29/2026,Short term,7.76813,--,--,7.552,-0.156,7.76813,-7.8,-10.8065,377.6,7.522,7.576,--
    50  06/29/2026,50,06/29/2026,Short term,7.805,--,--,7.552,-0.156,7.805,-7.8,-12.65,377.6,7.522,7.576,--
    GOOG +55 Shares (6 lots),55,06/01/2026,Short term,35.9056363,35.789,0.456,35.789,0.456,35.9056363,25.08,-6.4149965,1968.395,35.68,35.726,2026-07-23
    3  06/01/2026,3,06/01/2026,Short term,37.302,--,--,35.789,0.456,37.302,1.368,-4.539,107.367,35.68,35.726,--
    7  06/01/2026,7,06/01/2026,Short term,37.307,--,--,35.789,0.456,37.307,3.192,-10.626,250.523,35.68,35.726,--
    10  06/05/2026,10,06/05/2026,Short term,36.7745,--,--,35.789,0.456,36.7745,4.56,-9.855,357.89,35.68,35.726,--
    10  06/18/2026,10,06/18/2026,Short term,36.1635,--,--,35.789,0.456,36.1635,4.56,-3.745,357.89,35.68,35.726,--
    20  06/22/2026,20,06/22/2026,Short term,34.914,--,--,35.789,0.456,34.914,9.12,17.5,715.78,35.68,35.726,--
    5  06/24/2026,5,06/24/2026,Short term,34.819,--,--,35.789,0.456,34.819,2.28,4.85,178.945,35.68,35.726,--
    HHH +135 Shares (5 lots),135,10/08/2025,Short term,8.4053777,7.253,0.104,7.253,0.104,8.4053777,14.04,-155.5709895,979.155,7.101,7.402,2026-08-05
    25  10/08/2025,25,10/08/2025,Short term,8.241,--,--,7.253,0.104,8.241,2.6,-24.7,181.325,7.101,7.402,--
    25  10/08/2025,25,10/08/2025,Short term,8.255,--,--,7.253,0.104,8.255,2.6,-25.05,181.325,7.101,7.402,--
    30  10/10/2025,30,10/10/2025,Short term,8.086,--,--,7.253,0.104,8.086,3.12,-24.99,217.59,7.101,7.402,--
    25  11/28/2025,25,11/28/2025,Short term,8.95,--,--,7.253,0.104,8.95,2.6,-42.425,181.325,7.101,7.402,--
    30  12/11/2025,30,12/11/2025,Short term,8.5332,--,--,7.253,0.104,8.5332,3.12,-38.406,217.59,7.101,7.402,--
    IAUM +700 Shares (7 lots),700,03/02/2026,Short term,4.5533428,4.026,0.025,4.026,0.025,4.5533428,17.5,-369.13996,2818.2,4.024,4.028,--
    50  03/02/2026,50,03/02/2026,Short term,5.318,--,--,4.026,0.025,5.318,1.25,-64.6,201.3,4.024,4.028,--
    50  03/05/2026,50,03/05/2026,Short term,5.0755,--,--,4.026,0.025,5.0755,1.25,-52.475,201.3,4.024,4.028,--
    50  03/09/2026,50,03/09/2026,Short term,5.0845,--,--,4.026,0.025,5.0845,1.25,-52.925,201.3,4.024,4.028,--
    50  03/16/2026,50,03/16/2026,Short term,5.0075,--,--,4.026,0.025,5.0075,1.25,-49.075,201.3,4.024,4.028,--
    75  04/08/2026,75,04/08/2026,Short term,4.775,--,--,4.026,0.025,4.775,1.875,-56.175,301.95,4.024,4.028,--
    175  06/15/2026,175,06/15/2026,Short term,4.3415,--,--,4.026,0.025,4.3415,4.375,-55.2125,704.55,4.024,4.028,--
    250  06/22/2026,250,06/22/2026,Short term,4.18071,--,--,4.026,0.025,4.18071,6.25,-38.6775,1006.5,4.024,4.028,--
    IBIT +150 Shares (1 lot),150,06/15/2026,Short term,3.782,3.4,0.071,3.4,0.071,3.782,10.65,-57.3,510,3.407,3.411,--
    150  06/15/2026,150,06/15/2026,Short term,3.782,--,--,3.4,0.071,3.782,10.65,-57.3,510,3.407,3.411,--
    ICHR +55 Shares (2 lots),55,06/24/2026,Short term,9.8895454,11.177,-0.051,11.177,-0.051,9.8895454,18.585,70.810003,614.735,11.35,11.42,2026-08-04
    25  06/24/2026,25,06/24/2026,Short term,9.139,--,--,11.177,-0.051,9.139,-1.275,50.95,279.425,11.35,11.42,--
    30  07/01/2026,30,07/01/2026,Short term,10.515,--,--,11.177,-0.051,10.515,19.86,19.86,335.31,11.35,11.42,--
    IGM +30 Shares (2 lots),30,06/26/2026,Short term,16.0406,16.101,-0.257,16.101,-0.257,16.0406,-4.79,1.812,483.03,16.049,16.148,--
    10  06/26/2026,10,06/26/2026,Short term,15.6978,--,--,16.101,-0.257,15.6978,-2.57,4.032,161.01,16.049,16.148,--
    20  07/01/2026,20,07/01/2026,Short term,16.212,--,--,16.101,-0.257,16.212,-2.22,-2.22,322.02,16.049,16.148,--
    IGV +25 Shares (1 lot),25,07/01/2026,Short term,9.2555,9.334,0.274,9.334,0.274,9.2555,1.962,1.9625,233.35,9.334,9.37,--
    25  07/01/2026,25,07/01/2026,Short term,9.2555,--,--,9.334,0.274,9.2555,1.9625,1.9625,233.35,9.334,9.37,--
    INCY +125 Shares (2 lots),125,06/10/2026,Short term,11.0598,11.381,0.045,11.381,0.045,11.0598,5.625,40.15,1422.625,11.299,11.6,2026-07-28
    75  06/10/2026,75,06/10/2026,Short term,10.855,--,--,11.381,0.045,10.855,3.375,39.45,853.575,11.299,11.6,--
    50  06/29/2026,50,06/29/2026,Short term,11.367,--,--,11.381,0.045,11.367,2.25,0.7,569.05,11.299,11.6,--
    INDV +325 Shares (4 lots),325,06/09/2026,Short term,3.9272707,4.025,-0.078,4.025,-0.078,3.9272707,-25.35,31.7620225,1308.125,4,4.3,2026-08-06
    75  06/09/2026,75,06/09/2026,Short term,3.8401733,--,--,4.025,-0.078,3.8401733,-5.85,13.8620025,301.875,4,4.3,--
    50  06/10/2026,50,06/10/2026,Short term,3.823,--,--,4.025,-0.078,3.823,-3.9,10.1,201.25,4,4.3,--
    100  06/11/2026,100,06/11/2026,Short term,3.8765,--,--,4.025,-0.078,3.8765,-7.8,14.85,402.5,4,4.3,--
    100  06/29/2026,100,06/29/2026,Short term,4.0955,--,--,4.025,-0.078,4.0955,-7.8,-7.05,402.5,4,4.3,--
    IWM +100 Shares (1 lot),100,06/15/2026,Short term,29.726,29.932,-0.113,29.932,-0.113,29.726,-11.3,20.6,2993.2,29.901,29.907,--
    100  06/15/2026,100,06/15/2026,Short term,29.726,--,--,29.932,-0.113,29.726,-11.3,20.6,2993.2,29.901,29.907,--
    JAZZ +25 Shares (2 lots),25,06/08/2026,Short term,22.9617199,23.751,-0.346,23.751,-0.346,22.9617199,-8.65,19.7320025,593.775,20,24.9,2026-08-04
    15  06/08/2026,15,06/08/2026,Short term,23.1895333,--,--,23.751,-0.346,23.1895333,-5.19,8.4220005,356.265,20,24.9,--
    10  06/26/2026,10,06/26/2026,Short term,22.62,--,--,23.751,-0.346,22.62,-3.46,11.31,237.51,20,24.9,--
    KGC +341 Shares (4 lots),341,01/21/2026,Short term,3.1653079,2.347,-0.015,2.347,-0.015,3.1653079,-5.115,-279.0429939,800.327,2.347,2.355,2026-07-29
    65  01/21/2026,65,01/21/2026,Short term,3.5337846,--,--,2.347,-0.015,3.5337846,-0.975,-77.140999,152.555,2.347,2.355,--
    101  03/05/2026,101,03/05/2026,Short term,3.234,--,--,2.347,-0.015,3.234,-1.515,-89.587,237.047,2.347,2.355,--
    100  03/13/2026,100,03/13/2026,Short term,3.1799,--,--,2.347,-0.015,3.1799,-1.5,-83.29,234.7,2.347,2.355,--
    75  06/15/2026,75,06/15/2026,Short term,2.734,--,--,2.347,-0.015,2.734,-1.125,-29.025,176.025,2.347,2.355,--
    LITE +10 Shares (2 lots),10,06/26/2026,Short term,82.82991,80.116,-5.69,80.116,-5.69,82.82991,-47.679,-27.1391,801.16,79.811,80.085,2026-08-12
    5  06/26/2026,5,06/26/2026,Short term,81.698,--,--,80.116,-5.69,81.698,-28.45,-7.91,400.58,79.811,80.085,--
    5  07/01/2026,5,07/01/2026,Short term,83.96182,--,--,80.116,-5.69,83.96182,-19.2291,-19.2291,400.58,79.811,80.085,--
    MDLZ +15 Shares (1 lot),15,06/12/2026,Short term,6.332,5.935,0.151,5.935,0.151,6.332,2.265,-5.955,89.025,5.936,5.982,2026-07-28
    15  06/12/2026,15,06/12/2026,Short term,6.332,--,--,5.935,0.151,6.332,2.265,-5.955,89.025,5.936,5.982,--
    MKOR +100 Shares (2 lots),100,06/12/2026,Short term,6.8705,6.26914,-0.36372,6.26914,-0.36372,6.8705,-36.372,-60.136,626.914,6.087,7.286,--
    50  06/12/2026,50,06/12/2026,Short term,6.7105,--,--,6.26914,-0.36372,6.7105,-18.186,-22.068,313.457,6.087,7.286,--
    50  06/22/2026,50,06/22/2026,Short term,7.0305,--,--,6.26914,-0.36372,7.0305,-18.186,-38.068,313.457,6.087,7.286,--
    MLPI +345 Shares (7 lots),345,05/15/2026,Short term,5.6562724,5.437,-0.065,5.437,-0.065,5.6562724,-22.425,-75.648978,1875.765,5.426,5.45,--
    50  05/15/2026,50,05/15/2026,Short term,5.791,--,--,5.437,-0.065,5.791,-3.25,-17.7,271.85,5.426,5.45,--
    50  05/20/2026,50,05/20/2026,Short term,5.747,--,--,5.437,-0.065,5.747,-3.25,-15.5,271.85,5.426,5.45,--
    50  05/26/2026,50,05/26/2026,Short term,5.706,--,--,5.437,-0.065,5.706,-3.25,-13.45,271.85,5.426,5.45,--
    50  05/27/2026,50,05/27/2026,Short term,5.63,--,--,5.437,-0.065,5.63,-3.25,-9.65,271.85,5.426,5.45,--
    50  05/27/2026,50,05/27/2026,Short term,5.59208,--,--,5.437,-0.065,5.59208,-3.25,-7.754,271.85,5.426,5.45,--
    20  05/28/2026,20,05/28/2026,Short term,5.542,--,--,5.437,-0.065,5.542,-1.3,-2.1,108.74,5.426,5.45,--
    75  06/29/2026,75,06/29/2026,Short term,5.5636,--,--,5.437,-0.065,5.5636,-4.875,-9.495,407.775,5.426,5.45,--
    MRK +125 Shares (1 lot),125,06/12/2026,Short term,12.059872,12.537,-0.313,12.537,-0.313,12.059872,-39.125,59.641,1567.125,12.477,12.6,2026-08-04
    125  06/12/2026,125,06/12/2026,Short term,12.059872,--,--,12.537,-0.313,12.059872,-39.125,59.641,1567.125,12.477,12.6,--
    MSFT +167 Shares (17 lots),167,04/29/2026,Short term,40.7857401,38.428,1.126,38.428,1.126,40.7857401,188.042,-393.7425967,6417.476,38.414,38.45,2026-07-29
    8  04/29/2026,8,04/29/2026,Short term,42.5085,--,--,38.428,1.126,42.5085,9.008,-32.644,307.424,38.414,38.45,--
    5  04/29/2026,5,04/29/2026,Short term,42.2776,--,--,38.428,1.126,42.2776,5.63,-19.248,192.14,38.414,38.45,--
    5  05/01/2026,5,05/01/2026,Short term,41.219,--,--,38.428,1.126,41.219,5.63,-13.955,192.14,38.414,38.45,--
    5  05/19/2026,5,05/19/2026,Short term,41.8616,--,--,38.428,1.126,41.8616,5.63,-17.168,192.14,38.414,38.45,--
    5  05/20/2026,5,05/20/2026,Short term,41.293,--,--,38.428,1.126,41.293,5.63,-14.325,192.14,38.414,38.45,--
    5  05/20/2026,5,05/20/2026,Short term,41.578,--,--,38.428,1.126,41.578,5.63,-15.75,192.14,38.414,38.45,--
    5  05/26/2026,5,05/26/2026,Short term,41.7736,--,--,38.428,1.126,41.7736,5.63,-16.728,192.14,38.414,38.45,--
    10  05/27/2026,10,05/27/2026,Short term,41.1825,--,--,38.428,1.126,41.1825,11.26,-27.545,384.28,38.414,38.45,--
    5  06/02/2026,5,06/02/2026,Short term,44.7,--,--,38.428,1.126,44.7,5.63,-31.36,192.14,38.414,38.45,--
    5  06/02/2026,5,06/02/2026,Short term,44.504,--,--,38.428,1.126,44.504,5.63,-30.38,192.14,38.414,38.45,--
    25  06/03/2026,25,06/03/2026,Short term,43.845,--,--,38.428,1.126,43.845,28.15,-135.425,960.7,38.414,38.45,--
    7  06/03/2026,7,06/03/2026,Short term,43.1891429,--,--,38.428,1.126,43.1891429,7.882,-33.3280003,268.996,38.414,38.45,--
    7  06/03/2026,7,06/03/2026,Short term,42.686,--,--,38.428,1.126,42.686,7.882,-29.806,268.996,38.414,38.45,--
    25  06/15/2026,25,06/15/2026,Short term,39.665,--,--,38.428,1.126,39.665,28.15,-30.925,960.7,38.414,38.45,--
    5  06/16/2026,5,06/16/2026,Short term,39.2756,--,--,38.428,1.126,39.2756,5.63,-4.238,192.14,38.414,38.45,--
    20  06/29/2026,20,06/29/2026,Short term,36.927,--,--,38.428,1.126,36.927,22.52,30.02,768.56,38.414,38.45,--
    20  06/29/2026,20,06/29/2026,Short term,36.97488,--,--,38.428,1.126,36.97488,22.52,29.0624,768.56,38.414,38.45,--
    MXL +110 Shares (3 lots),110,06/26/2026,Short term,11.4634,11.239,-1.564,11.239,-1.564,11.4634,-93.59,-24.684,1236.29,11.314,11.36,2026-07-22
    10  06/26/2026,10,06/26/2026,Short term,9.0599,--,--,11.239,-1.564,9.0599,-15.64,21.791,112.39,11.314,11.36,--
    25  06/30/2026,25,06/30/2026,Short term,11.544,--,--,11.239,-1.564,11.544,-39.1,-7.625,280.975,11.314,11.36,--
    75  07/01/2026,75,07/01/2026,Short term,11.757,--,--,11.239,-1.564,11.757,-38.85,-38.85,842.925,11.314,11.36,--
    MYRG +25 Shares (2 lots),25,05/29/2026,Short term,46.323,46.311,-3.729,46.311,-3.729,46.323,-93.225,-0.3,1157.775,46.349,47.512,2026-07-29
    15  05/29/2026,15,05/29/2026,Short term,46.337,--,--,46.311,-3.729,46.337,-55.935,-0.39,694.665,46.349,47.512,--
    10  05/29/2026,10,05/29/2026,Short term,46.302,--,--,46.311,-3.729,46.302,-37.29,0.09,463.11,46.349,47.512,--
    NBIS +20 Shares (2 lots),20,06/26/2026,Short term,24.141125,22.918,-4.699,22.918,-4.699,24.141125,-40.047,-24.4625,458.36,23.096,23.165,2026-08-06
    5  06/26/2026,5,06/26/2026,Short term,24.5,--,--,22.918,-4.699,24.5,-23.495,-7.91,114.59,23.096,23.165,--
    15  07/01/2026,15,07/01/2026,Short term,24.0215,--,--,22.918,-4.699,24.0215,-16.5525,-16.5525,343.77,23.096,23.165,--
    NEM +85 Shares (3 lots),85,02/20/2026,Short term,11.7344941,9.33,-0.01,9.33,-0.01,11.7344941,-0.85,-204.3819985,793.05,9.3,9.318,2026-07-23
    35  02/20/2026,35,02/20/2026,Short term,12.2877,--,--,9.33,-0.01,12.2877,-0.35,-103.5195,326.55,9.3,9.318,--
    25  03/13/2026,25,03/13/2026,Short term,11.1955,--,--,9.33,-0.01,11.1955,-0.25,-46.6375,233.25,9.3,9.318,--
    25  05/06/2026,25,05/06/2026,Short term,11.499,--,--,9.33,-0.01,11.499,-0.25,-54.225,233.25,9.3,9.318,--
    NEXA +1350 Shares (6 lots),1350,06/02/2026,Short term,1.4115807,1.204,-0.02,1.204,-0.02,1.4115807,-27,-280.233945,1625.4,1.193,1.2,2026-07-30
    100  06/02/2026,100,06/02/2026,Short term,1.61498,--,--,1.204,-0.02,1.61498,-2,-41.098,120.4,1.193,1.2,--
    150  06/02/2026,150,06/02/2026,Short term,1.5835,--,--,1.204,-0.02,1.5835,-3,-56.925,180.6,1.193,1.2,--
    350  06/03/2026,350,06/03/2026,Short term,1.583,--,--,1.204,-0.02,1.583,-7,-132.65,421.4,1.193,1.2,--
    200  06/22/2026,200,06/22/2026,Short term,1.3765,--,--,1.204,-0.02,1.3765,-4,-34.5,240.8,1.193,1.2,--
    350  06/29/2026,350,06/29/2026,Short term,1.2295,--,--,1.204,-0.02,1.2295,-7,-8.925,421.4,1.193,1.2,--
    200  06/29/2026,200,06/29/2026,Short term,1.23468,--,--,1.204,-0.02,1.23468,-4,-6.136,240.8,1.193,1.2,--
    NLCP +2950 Shares (6 lots),2950,05/29/2026,Short term,1.5538135,1.561,-0.035,1.561,-0.035,1.5547504492,-103.25,18.436175,4604.95,0,0,2026-08-05
    350  05/29/2026,350,05/29/2026,Short term,1.586,--,--,1.561,-0.035,1.5868257,-12.25,-9.038995,546.35,0,0,--
    350  06/02/2026,350,06/02/2026,Short term,1.519,--,--,1.561,-0.035,1.5204143,-12.25,14.204995,546.35,0,0,--
    500  06/02/2026,500,06/02/2026,Short term,1.499,--,--,1.561,-0.035,1.49999,-17.5,30.505,780.5,0,0,--
    500  06/24/2026,500,06/24/2026,Short term,1.567,--,--,1.561,-0.035,1.56799,-17.5,-3.495,780.5,0,0,--
    500  06/25/2026,500,06/25/2026,Short term,1.54,--,--,1.561,-0.035,1.54099,-17.5,10.005,780.5,0,0,--
    750  06/29/2026,750,06/29/2026,Short term,1.592,--,--,1.561,-0.035,1.59266,-26.25,-23.745,1170.75,0,0,--
    NVDA +45 Shares (1 lot),45,06/03/2026,Short term,21.69,19.758,-0.251,19.758,-0.251,21.69,-11.295,-86.94,889.11,19.731,19.744,2026-08-26
    45  06/03/2026,45,06/03/2026,Short term,21.69,--,--,19.758,-0.251,21.69,-11.295,-86.94,889.11,19.731,19.744,--
    PARR +247 Shares (4 lots),247,05/05/2026,Short term,5.8848906,5.88,0.272,5.88,0.272,5.8848906,67.184,-1.2079782,1452.36,5.553,6,2026-08-04
    17  05/05/2026,17,05/05/2026,Short term,6.789,--,--,5.88,0.272,6.789,4.624,-15.453,99.96,5.553,6,--
    20  05/11/2026,20,05/11/2026,Short term,6.468,--,--,5.88,0.272,6.468,5.44,-11.76,117.6,5.553,6,--
    35  05/22/2026,35,05/22/2026,Short term,5.7595,--,--,5.88,0.272,5.7595,9.52,4.2175,205.8,5.553,6,--
    175  06/08/2026,175,06/08/2026,Short term,5.7555,--,--,5.88,0.272,5.7555,47.6,21.7875,1029,5.553,6,--
    PBR +375 Shares (3 lots),375,06/08/2026,Short term,1.8059053,1.599,-0.017,1.599,-0.017,1.8059053,-6.375,-77.5894875,599.625,1.59,1.599,2026-08-06
    100  06/08/2026,100,06/08/2026,Short term,1.7735,--,--,1.599,-0.017,1.7735,-1.7,-17.45,159.9,1.59,1.599,--
    125  06/10/2026,125,06/10/2026,Short term,1.7925,--,--,1.599,-0.017,1.7925,-2.125,-24.1875,199.875,1.59,1.599,--
    150  06/11/2026,150,06/11/2026,Short term,1.83868,--,--,1.599,-0.017,1.83868,-2.55,-35.952,239.85,1.59,1.599,--
    PINE +1300 Shares (5 lots),1300,06/10/2026,Short term,2.0121869,2.097,0.021,2.097,0.021,2.0121869,27.3,110.25703,2726.1,1.95,2.225,2026-07-23
    675  06/10/2026,675,06/10/2026,Short term,1.9964993,--,--,2.097,0.021,1.9964993,14.175,67.8379725,1415.475,1.95,2.225,--
    200  06/10/2026,200,06/10/2026,Short term,2.021,--,--,2.097,0.021,2.021,4.2,15.2,419.4,1.95,2.225,--
    125  06/18/2026,125,06/18/2026,Short term,1.913,--,--,2.097,0.021,1.913,2.625,23,262.125,1.95,2.225,--
    150  06/30/2026,150,06/30/2026,Short term,2.08,--,--,2.097,0.021,2.08,3.15,2.55,314.55,1.95,2.225,--
    150  06/30/2026,150,06/30/2026,Short term,2.0858733,--,--,2.097,0.021,2.0858733,3.15,1.669005,314.55,1.95,2.225,--
    PLTR +255 Shares (5 lots),255,06/02/2026,Short term,14.462149,12.573,0.906,12.573,0.906,14.462149,231.03,-481.732995,3206.115,12.523,12.53,2026-08-03
    15  06/02/2026,15,06/02/2026,Short term,15.419,--,--,12.573,0.906,15.419,13.59,-42.69,188.595,12.523,12.53,--
    15  06/02/2026,15,06/02/2026,Short term,15.295,--,--,12.573,0.906,15.295,13.59,-40.83,188.595,12.523,12.53,--
    75  06/02/2026,75,06/02/2026,Short term,15.3835067,--,--,12.573,0.906,15.3835067,67.95,-210.7880025,942.975,12.523,12.53,--
    75  06/03/2026,75,06/03/2026,Short term,14.97,--,--,12.573,0.906,14.97,67.95,-179.775,942.975,12.523,12.53,--
    75  06/18/2026,75,06/18/2026,Short term,12.675,--,--,12.573,0.906,12.675,67.95,-7.65,942.975,12.523,12.53,--
    PM +130 Shares (6 lots),130,06/12/2026,Short term,18.061673,17.769,-0.322,17.769,-0.322,18.061673,-41.86,-38.04749,2309.97,17.787,17.815,2026-07-22
    5  06/12/2026,5,06/12/2026,Short term,18.1,--,--,17.769,-0.322,18.1,-1.61,-1.655,88.845,17.787,17.815,--
    25  06/15/2026,25,06/15/2026,Short term,18.367,--,--,17.769,-0.322,18.367,-8.05,-14.95,444.225,17.787,17.815,--
    25  06/15/2026,25,06/15/2026,Short term,18.304,--,--,17.769,-0.322,18.304,-8.05,-13.375,444.225,17.787,17.815,--
    20  06/18/2026,20,06/18/2026,Short term,17.961,--,--,17.769,-0.322,17.961,-6.44,-3.84,355.38,17.787,17.815,--
    30  06/22/2026,30,06/22/2026,Short term,17.6745,--,--,17.769,-0.322,17.6745,-9.66,2.835,533.07,17.787,17.815,--
    25  06/29/2026,25,06/29/2026,Short term,18.0515,--,--,17.769,-0.322,18.0515,-8.05,-7.0625,444.225,17.787,17.815,--
    PPLT +100 Shares (1 lot),100,05/14/2026,Short term,1.87595,1.429,0.016,1.429,0.016,1.87595,1.6,-44.695,142.9,1.43,1.439,--
    100  05/14/2026,100,05/14/2026,Short term,1.87595,--,--,1.429,0.016,1.87595,1.6,-44.695,142.9,1.43,1.439,--
    PSTL +1600 Shares (15 lots),1600,03/09/2026,Short term,2.3284009,2.472,0.008,2.472,0.008,2.3284009,12.8,229.75856,3955.2,2.214,2.472,2026-08-03
    50  03/09/2026,50,03/09/2026,Short term,1.92802,--,--,2.472,0.008,1.92802,0.4,27.199,123.6,2.214,2.472,--
    50  05/01/2026,50,05/01/2026,Short term,2.1985,--,--,2.472,0.008,2.1985,0.4,13.675,123.6,2.214,2.472,--
    50  05/07/2026,50,05/07/2026,Short term,2.299,--,--,2.472,0.008,2.299,0.4,8.65,123.6,2.214,2.472,--
    50  05/11/2026,50,05/11/2026,Short term,2.335,--,--,2.472,0.008,2.335,0.4,6.85,123.6,2.214,2.472,--
    100  05/22/2026,100,05/22/2026,Short term,2.38199,--,--,2.472,0.008,2.38199,0.8,9.001,247.2,2.214,2.472,--
    75  05/28/2026,75,05/28/2026,Short term,2.4105,--,--,2.472,0.008,2.4105,0.6,4.6125,185.4,2.214,2.472,--
    175  05/28/2026,175,05/28/2026,Short term,2.346,--,--,2.472,0.008,2.346,1.4,22.05,432.6,2.214,2.472,--
    150  05/29/2026,150,05/29/2026,Short term,2.295,--,--,2.472,0.008,2.295,1.2,26.55,370.8,2.214,2.472,--
    50  05/29/2026,50,05/29/2026,Short term,2.29,--,--,2.472,0.008,2.29,0.4,9.1,123.6,2.214,2.472,--
    100  06/02/2026,100,06/02/2026,Short term,2.252,--,--,2.472,0.008,2.252,0.8,22,247.2,2.214,2.472,--
    100  06/03/2026,100,06/03/2026,Short term,2.2465,--,--,2.472,0.008,2.2465,0.8,22.55,247.2,2.214,2.472,--
    150  06/15/2026,150,06/15/2026,Short term,2.3665,--,--,2.472,0.008,2.3665,1.2,15.825,370.8,2.214,2.472,--
    100  06/15/2026,100,06/15/2026,Short term,2.316,--,--,2.472,0.008,2.316,0.8,15.6,247.2,2.214,2.472,--
    200  06/25/2026,200,06/25/2026,Short term,2.3385,--,--,2.472,0.008,2.3385,1.6,26.7,494.4,2.214,2.472,--
    200  06/29/2026,200,06/29/2026,Short term,2.47502,--,--,2.472,0.008,2.47502,1.6,-0.604,494.4,2.214,2.472,--
    PSUS +1050 Shares (11 lots),1050,05/28/2026,Short term,3.8411795,3.888,0.15,3.888,0.15,3.8411795,157.5,49.161525,4082.4,3.8,3.935,--
    100  05/28/2026,100,05/28/2026,Short term,4.066,--,--,3.888,0.15,4.066,15,-17.8,388.8,3.8,3.935,--
    100  05/29/2026,100,05/29/2026,Short term,4.021,--,--,3.888,0.15,4.021,15,-13.3,388.8,3.8,3.935,--
    50  06/01/2026,50,06/01/2026,Short term,3.94,--,--,3.888,0.15,3.94,7.5,-2.6,194.4,3.8,3.935,--
    75  06/02/2026,75,06/02/2026,Short term,3.941,--,--,3.888,0.15,3.941,11.25,-3.975,291.6,3.8,3.935,--
    100  06/05/2026,100,06/05/2026,Short term,3.87151,--,--,3.888,0.15,3.87151,15,1.649,388.8,3.8,3.935,--
    75  06/08/2026,75,06/08/2026,Short term,3.753,--,--,3.888,0.15,3.753,11.25,10.125,291.6,3.8,3.935,--
    125  06/10/2026,125,06/10/2026,Short term,3.774,--,--,3.888,0.15,3.774,18.75,14.25,486,3.8,3.935,--
    125  06/11/2026,125,06/11/2026,Short term,3.7615,--,--,3.888,0.15,3.7615,18.75,15.8125,486,3.8,3.935,--
    100  06/11/2026,100,06/11/2026,Short term,3.763,--,--,3.888,0.15,3.763,15,12.5,388.8,3.8,3.935,--
    100  06/11/2026,100,06/11/2026,Short term,3.735,--,--,3.888,0.15,3.735,15,15.3,388.8,3.8,3.935,--
    100  06/25/2026,100,06/25/2026,Short term,3.716,--,--,3.888,0.15,3.716,15,17.2,388.8,3.8,3.935,--
    QQQ +20 Shares (1 lot),20,06/15/2026,Short term,73.819,72.517,-1.123,72.517,-1.123,73.819,-22.46,-26.04,1450.34,72.482,72.489,--
    20  06/15/2026,20,06/15/2026,Short term,73.819,--,--,72.517,-1.123,73.819,-22.46,-26.04,1450.34,72.482,72.489,--
    REMX +95 Shares (5 lots),95,05/08/2026,Short term,10.0307368,8.766,-0.084,8.766,-0.084,10.0307368,-7.98,-120.149996,832.77,8.737,8.764,--
    10  05/08/2026,10,05/08/2026,Short term,10.638,--,--,8.766,-0.084,10.638,-0.84,-18.72,87.66,8.737,8.764,--
    20  05/14/2026,20,05/14/2026,Short term,10.04375,--,--,8.766,-0.084,10.04375,-1.68,-25.555,175.32,8.737,8.764,--
    25  05/14/2026,25,05/14/2026,Short term,9.985,--,--,8.766,-0.084,9.985,-2.1,-30.475,219.15,8.737,8.764,--
    20  05/29/2026,20,05/29/2026,Short term,9.97,--,--,8.766,-0.084,9.97,-1.68,-24.08,175.32,8.737,8.764,--
    20  06/03/2026,20,06/03/2026,Short term,9.832,--,--,8.766,-0.084,9.832,-1.68,-21.32,175.32,8.737,8.764,--
    RTX +70 Shares (3 lots),70,06/08/2026,Short term,18.0989857,19.178,0.205,19.178,0.205,18.0989857,14.35,75.531001,1342.46,19.125,19.178,2026-07-23
    25  06/08/2026,25,06/08/2026,Short term,17.9065,--,--,19.178,0.205,17.9065,5.125,31.7875,479.45,19.125,19.178,--
    20  06/10/2026,20,06/10/2026,Short term,18.2402,--,--,19.178,0.205,18.2402,4.1,18.756,383.56,19.125,19.178,--
    25  06/22/2026,25,06/22/2026,Short term,18.1785,--,--,19.178,0.205,18.1785,5.125,24.9875,479.45,19.125,19.178,--
    SHLD +50 Shares (1 lot),50,04/24/2026,Short term,6.74316,6.12,0.149,6.12,0.149,6.74316,7.45,-31.158,306,6.1,6.206,2018-11-30
